Player 640 360 48 48 25 100 200 1000 3
Pistol 20 20 25 2000 30 20
Tile GreyWall 0 0 20 35 0 0
Tile GreyWall 0 0 21 35 0 0
Tile GreyWall 0 0 22 35 0 0
Tile GreyWall 0 0 23 35 0 0
Tile GreyWall 0 0 24 35 0 0
Tile GreyWall 0 0 25 35 0 0
Tile GreyWall 0 0 26 35 0 0
Tile GreyWall 0 0 27 35 0 0
Tile GreyWall 0 0 28 35 0 0
Tile GreyWall 0 0 29 35 0 0
Tile GreyWall 0 0 30 35 0 0
Tile GreyWall 0 0 31 35 0 0
Tile GreyWall 0 0 32 35 0 0
Tile GreyWall 0 0 33 35 0 0
Tile GreyWall 0 0 34 35 0 0
Tile GreyWall 0 0 35 35 0 0
Tile GreyWall 0 0 36 35 0 0
Tile GreyFloor 0 0 6 7 1 1
Tile GreyFloor 0 0 7 7 1 1
Tile GreyFloor 0 0 8 7 1 1
Tile GreyFloor 0 0 9 7 1 1
Tile GreyFloor 0 0 10 7 1 1
Tile GreyFloor 0 0 11 7 1 1
Tile GreyFloor 0 0 12 7 1 1
Tile GreyFloor 0 0 13 7 1 1
Tile GreyFloor 0 0 14 7 1 1
Tile GreyFloor 0 0 15 7 1 1
Tile GreyFloor 0 0 16 7 1 1
Tile GreyFloor 0 0 17 7 1 1
Tile GreyFloor 0 0 18 7 1 1
Tile GreyFloor 0 0 19 7 1 1
Tile GreyFloor 0 0 20 7 1 1
Tile GreyFloor 0 0 21 7 1 1
Tile GreyFloor 0 0 22 7 1 1
Tile GreyFloor 0 0 23 7 1 1
Tile GreyFloor 0 0 24 7 1 1
Tile GreyFloor 0 0 25 7 1 1
Tile GreyFloor 0 0 26 7 1 1
Tile GreyFloor 0 0 27 7 1 1
Tile GreyFloor 0 0 28 7 1 1
Tile GreyFloor 0 0 29 7 1 1
Tile GreyFloor 0 0 30 7 1 1
Tile GreyFloor 0 0 31 7 1 1
Tile GreyFloor 0 0 32 7 1 1
Tile GreyFloor 0 0 33 7 1 1
Tile GreyFloor 0 0 34 7 1 1
Tile GreyFloor 0 0 35 7 1 1
Tile GreyFloor 0 0 6 8 1 1
Tile GreyFloor 0 0 7 8 1 1
Tile GreyFloor 0 0 8 8 1 1
Tile GreyFloor 0 0 9 8 1 1
Tile GreyFloor 0 0 10 8 1 1
Tile GreyFloor 0 0 11 8 1 1
Tile GreyFloor 0 0 12 8 1 1
Tile GreyFloor 0 0 13 8 1 1
Tile GreyFloor 0 0 14 8 1 1
Tile GreyFloor 0 0 15 8 1 1
Tile GreyFloor 0 0 16 8 1 1
Tile GreyFloor 0 0 17 8 1 1
Tile GreyFloor 0 0 18 8 1 1
Tile GreyFloor 0 0 19 8 1 1
Tile GreyFloor 0 0 20 8 1 1
Tile GreyFloor 0 0 21 8 1 1
Tile GreyFloor 0 0 22 8 1 1
Tile GreyFloor 0 0 23 8 1 1
Tile GreyFloor 0 0 24 8 1 1
Tile GreyFloor 0 0 25 8 1 1
Tile GreyFloor 0 0 26 8 1 1
Tile GreyFloor 0 0 27 8 1 1
Tile GreyFloor 0 0 28 8 1 1
Tile GreyFloor 0 0 29 8 1 1
Tile GreyFloor 0 0 30 8 1 1
Tile GreyFloor 0 0 31 8 1 1
Tile GreyFloor 0 0 32 8 1 1
Tile GreyFloor 0 0 33 8 1 1
Tile GreyFloor 0 0 34 8 1 1
Tile GreyFloor 0 0 35 8 1 1
Tile GreyFloor 0 0 6 9 1 1
Tile GreyFloor 0 0 7 9 1 1
Tile GreyFloor 0 0 8 9 1 1
Tile GreyFloor 0 0 9 9 1 1
Tile GreyFloor 0 0 10 9 1 1
Tile GreyFloor 0 0 11 9 1 1
Tile GreyFloor 0 0 12 9 1 1
Tile GreyFloor 0 0 13 9 1 1
Tile GreyFloor 0 0 14 9 1 1
Tile GreyFloor 0 0 15 9 1 1
Tile GreyFloor 0 0 16 9 1 1
Tile GreyFloor 0 0 17 9 1 1
Tile GreyFloor 0 0 18 9 1 1
Tile GreyFloor 0 0 19 9 1 1
Tile GreyFloor 0 0 20 9 1 1
Tile GreyFloor 0 0 21 9 1 1
Tile GreyFloor 0 0 22 9 1 1
Tile GreyFloor 0 0 23 9 1 1
Tile GreyFloor 0 0 24 9 1 1
Tile GreyFloor 0 0 25 9 1 1
Tile GreyFloor 0 0 26 9 1 1
Tile GreyFloor 0 0 27 9 1 1
Tile GreyFloor 0 0 28 9 1 1
Tile GreyFloor 0 0 29 9 1 1
Tile GreyFloor 0 0 30 9 1 1
Tile GreyFloor 0 0 31 9 1 1
Tile GreyFloor 0 0 32 9 1 1
Tile GreyFloor 0 0 33 9 1 1
Tile GreyFloor 0 0 34 9 1 1
Tile GreyFloor 0 0 35 9 1 1
Tile GreyFloor 0 0 6 10 1 1
Tile GreyFloor 0 0 7 10 1 1
Tile GreyFloor 0 0 8 10 1 1
Tile GreyFloor 0 0 9 10 1 1
Tile GreyFloor 0 0 10 10 1 1
Tile GreyFloor 0 0 11 10 1 1
Tile GreyFloor 0 0 12 10 1 1
Tile GreyFloor 0 0 13 10 1 1
Tile GreyFloor 0 0 14 10 1 1
Tile GreyFloor 0 0 15 10 1 1
Tile GreyFloor 0 0 16 10 1 1
Tile GreyFloor 0 0 17 10 1 1
Tile GreyFloor 0 0 18 10 1 1
Tile GreyFloor 0 0 19 10 1 1
Tile GreyFloor 0 0 20 10 1 1
Tile GreyFloor 0 0 21 10 1 1
Tile GreyFloor 0 0 22 10 1 1
Tile GreyFloor 0 0 23 10 1 1
Tile GreyFloor 0 0 24 10 1 1
Tile GreyFloor 0 0 25 10 1 1
Tile GreyFloor 0 0 26 10 1 1
Tile GreyFloor 0 0 27 10 1 1
Tile GreyFloor 0 0 28 10 1 1
Tile GreyFloor 0 0 29 10 1 1
Tile GreyFloor 0 0 30 10 1 1
Tile GreyFloor 0 0 31 10 1 1
Tile GreyFloor 0 0 32 10 1 1
Tile GreyFloor 0 0 33 10 1 1
Tile GreyFloor 0 0 34 10 1 1
Tile GreyFloor 0 0 35 10 1 1
Tile GreyFloor 0 0 6 11 1 1
Tile GreyFloor 0 0 7 11 1 1
Tile GreyFloor 0 0 8 11 1 1
Tile GreyFloor 0 0 9 11 1 1
Tile GreyFloor 0 0 10 11 1 1
Tile GreyFloor 0 0 11 11 1 1
Tile GreyFloor 0 0 12 11 1 1
Tile GreyFloor 0 0 13 11 1 1
Tile GreyFloor 0 0 14 11 1 1
Tile GreyFloor 0 0 15 11 1 1
Tile GreyFloor 0 0 16 11 1 1
Tile GreyFloor 0 0 17 11 1 1
Tile GreyFloor 0 0 18 11 1 1
Tile GreyFloor 0 0 19 11 1 1
Tile GreyFloor 0 0 20 11 1 1
Tile GreyFloor 0 0 21 11 1 1
Tile GreyFloor 0 0 22 11 1 1
Tile GreyFloor 0 0 23 11 1 1
Tile GreyFloor 0 0 24 11 1 1
Tile GreyFloor 0 0 25 11 1 1
Tile GreyFloor 0 0 26 11 1 1
Tile GreyFloor 0 0 27 11 1 1
Tile GreyFloor 0 0 28 11 1 1
Tile GreyFloor 0 0 29 11 1 1
Tile GreyFloor 0 0 30 11 1 1
Tile GreyFloor 0 0 31 11 1 1
Tile GreyFloor 0 0 32 11 1 1
Tile GreyFloor 0 0 33 11 1 1
Tile GreyFloor 0 0 34 11 1 1
Tile GreyFloor 0 0 35 11 1 1
Tile GreyFloor 0 0 6 12 1 1
Tile GreyFloor 0 0 7 12 1 1
Tile GreyFloor 0 0 8 12 1 1
Tile GreyFloor 0 0 9 12 0 0
Tile GreyFloor 0 0 10 12 0 0
Tile GreyFloor 0 0 11 12 0 0
Tile GreyFloor 0 0 12 12 0 0
Tile GreyFloor 0 0 13 12 0 0
Tile GreyFloor 0 0 14 12 0 0
Tile GreyFloor 0 0 15 12 0 0
Tile GreyFloor 0 0 16 12 0 0
Tile GreyFloor 0 0 17 12 0 0
Tile GreyFloor 0 0 18 12 0 0
Tile GreyFloor 0 0 19 12 0 0
Tile GreyFloor 0 0 20 12 0 0
Tile GreyFloor 0 0 21 12 0 0
Tile GreyFloor 0 0 22 12 0 0
Tile GreyFloor 0 0 23 12 0 0
Tile GreyFloor 0 0 24 12 0 0
Tile GreyFloor 0 0 25 12 0 0
Tile GreyFloor 0 0 26 12 0 0
Tile GreyFloor 0 0 27 12 0 0
Tile GreyFloor 0 0 28 12 0 0
Tile GreyFloor 0 0 29 12 0 0
Tile GreyFloor 0 0 30 12 0 0
Tile GreyFloor 0 0 31 12 0 0
Tile GreyFloor 0 0 32 12 0 0
Tile GreyFloor 0 0 33 12 0 0
Tile GreyFloor 0 0 34 12 0 0
Tile GreyFloor 0 0 35 12 0 0
Tile GreyFloor 0 0 6 13 0 0
Tile GreyFloor 0 0 7 13 0 0
Tile GreyFloor 0 0 8 13 0 0
Tile GreyFloor 0 0 9 13 0 0
Tile GreyFloor 0 0 10 13 0 0
Tile GreyFloor 0 0 11 13 0 0
Tile GreyFloor 0 0 12 13 0 0
Tile GreyFloor 0 0 13 13 0 0
Tile GreyFloor 0 0 14 13 0 0
Tile GreyFloor 0 0 15 13 0 0
Tile GreyFloor 0 0 16 13 0 0
Tile GreyFloor 0 0 17 13 0 0
Tile GreyFloor 0 0 18 13 0 0
Tile GreyFloor 0 0 19 13 0 0
Tile GreyFloor 0 0 20 13 0 0
Tile GreyFloor 0 0 21 13 0 0
Tile GreyFloor 0 0 22 13 0 0
Tile GreyFloor 0 0 23 13 0 0
Tile GreyFloor 0 0 24 13 0 0
Tile GreyFloor 0 0 25 13 0 0
Tile GreyFloor 0 0 26 13 0 0
Tile GreyFloor 0 0 27 13 0 0
Tile GreyFloor 0 0 28 13 0 0
Tile GreyFloor 0 0 29 13 0 0
Tile GreyFloor 0 0 30 13 0 0
Tile GreyFloor 0 0 31 13 0 0
Tile GreyFloor 0 0 32 13 0 0
Tile GreyFloor 0 0 33 13 0 0
Tile GreyFloor 0 0 34 13 0 0
Tile GreyFloor 0 0 35 13 0 0
Tile GreyFloor 0 0 6 14 0 0
Tile GreyFloor 0 0 7 14 0 0
Tile GreyFloor 0 0 8 14 0 0
Tile GreyFloor 0 0 9 14 0 0
Tile GreyFloor 0 0 10 14 0 0
Tile GreyFloor 0 0 11 14 0 0
Tile GreyFloor 0 0 12 14 0 0
Tile GreyFloor 0 0 13 14 0 0
Tile GreyFloor 0 0 14 14 0 0
Tile GreyFloor 0 0 15 14 0 0
Tile GreyFloor 0 0 16 14 0 0
Tile GreyFloor 0 0 17 14 0 0
Tile GreyFloor 0 0 18 14 0 0
Tile GreyFloor 0 0 19 14 0 0
Tile GreyFloor 0 0 20 14 0 0
Tile GreyFloor 0 0 21 14 0 0
Tile GreyFloor 0 0 22 14 0 0
Tile GreyFloor 0 0 23 14 0 0
Tile GreyFloor 0 0 24 14 0 0
Tile GreyFloor 0 0 25 14 0 0
Tile GreyFloor 0 0 26 14 0 0
Tile GreyFloor 0 0 27 14 0 0
Tile GreyFloor 0 0 28 14 0 0
Tile GreyFloor 0 0 29 14 0 0
Tile GreyFloor 0 0 30 14 0 0
Tile GreyFloor 0 0 31 14 0 0
Tile GreyFloor 0 0 32 14 0 0
Tile GreyFloor 0 0 33 14 0 0
Tile GreyFloor 0 0 34 14 0 0
Tile GreyFloor 0 0 35 14 0 0
Tile GreyFloor 0 0 6 15 0 0
Tile GreyFloor 0 0 7 15 0 0
Tile GreyFloor 0 0 8 15 0 0
Tile GreyFloor 0 0 9 15 0 0
Tile GreyFloor 0 0 10 15 0 0
Tile GreyFloor 0 0 11 15 0 0
Tile GreyFloor 0 0 12 15 0 0
Tile GreyFloor 0 0 13 15 0 0
Tile GreyFloor 0 0 14 15 0 0
Tile GreyFloor 0 0 15 15 0 0
Tile GreyFloor 0 0 16 15 0 0
Tile GreyFloor 0 0 17 15 0 0
Tile GreyFloor 0 0 18 15 0 0
Tile GreyFloor 0 0 19 15 0 0
Tile GreyFloor 0 0 20 15 0 0
Tile GreyFloor 0 0 21 15 0 0
Tile GreyFloor 0 0 22 15 0 0
Tile GreyFloor 0 0 23 15 0 0
Tile GreyFloor 0 0 24 15 0 0
Tile GreyFloor 0 0 25 15 0 0
Tile GreyFloor 0 0 26 15 0 0
Tile GreyFloor 0 0 27 15 0 0
Tile GreyFloor 0 0 28 15 0 0
Tile GreyFloor 0 0 29 15 0 0
Tile GreyFloor 0 0 30 15 0 0
Tile GreyFloor 0 0 31 15 0 0
Tile GreyFloor 0 0 32 15 0 0
Tile GreyFloor 0 0 33 15 0 0
Tile GreyFloor 0 0 34 15 0 0
Tile GreyFloor 0 0 35 15 0 0
Tile GreyFloor 0 0 6 16 0 0
Tile GreyFloor 0 0 7 16 0 0
Tile GreyFloor 0 0 8 16 0 0
Tile GreyFloor 0 0 9 16 0 0
Tile GreyFloor 0 0 10 16 0 0
Tile GreyFloor 0 0 11 16 0 0
Tile GreyFloor 0 0 12 16 0 0
Tile GreyFloor 0 0 13 16 0 0
Tile GreyFloor 0 0 14 16 0 0
Tile GreyFloor 0 0 15 16 0 0
Tile GreyFloor 0 0 16 16 0 0
Tile GreyFloor 0 0 17 16 0 0
Tile GreyFloor 0 0 18 16 0 0
Tile GreyFloor 0 0 19 16 0 0
Tile GreyFloor 0 0 20 16 0 0
Tile GreyFloor 0 0 21 16 0 0
Tile GreyFloor 0 0 22 16 0 0
Tile GreyFloor 0 0 23 16 0 0
Tile GreyFloor 0 0 24 16 0 0
Tile GreyFloor 0 0 25 16 0 0
Tile GreyFloor 0 0 26 16 0 0
Tile GreyFloor 0 0 27 16 0 0
Tile GreyFloor 0 0 28 16 0 0
Tile GreyFloor 0 0 29 16 0 0
Tile GreyFloor 0 0 30 16 0 0
Tile GreyFloor 0 0 31 16 0 0
Tile GreyFloor 0 0 32 16 0 0
Tile GreyFloor 0 0 33 16 0 0
Tile GreyFloor 0 0 34 16 0 0
Tile GreyFloor 0 0 35 16 0 0
Tile GreyFloor 0 0 6 17 0 0
Tile GreyFloor 0 0 7 17 0 0
Tile GreyFloor 0 0 8 17 0 0
Tile GreyFloor 0 0 9 17 0 0
Tile GreyFloor 0 0 10 17 0 0
Tile GreyFloor 0 0 11 17 0 0
Tile GreyFloor 0 0 12 17 0 0
Tile GreyFloor 0 0 13 17 0 0
Tile GreyFloor 0 0 14 17 0 0
Tile GreyFloor 0 0 15 17 0 0
Tile GreyFloor 0 0 16 17 0 0
Tile GreyFloor 0 0 17 17 0 0
Tile GreyFloor 0 0 18 17 0 0
Tile GreyFloor 0 0 19 17 0 0
Tile GreyFloor 0 0 20 17 0 0
Tile GreyFloor 0 0 21 17 0 0
Tile GreyFloor 0 0 22 17 0 0
Tile GreyFloor 0 0 23 17 0 0
Tile GreyFloor 0 0 24 17 0 0
Tile GreyFloor 0 0 25 17 0 0
Tile GreyFloor 0 0 26 17 0 0
Tile GreyFloor 0 0 27 17 0 0
Tile GreyFloor 0 0 28 17 0 0
Tile GreyFloor 0 0 29 17 0 0
Tile GreyFloor 0 0 30 17 0 0
Tile GreyFloor 0 0 31 17 0 0
Tile GreyFloor 0 0 32 17 0 0
Tile GreyFloor 0 0 33 17 0 0
Tile GreyFloor 0 0 34 17 0 0
Tile GreyFloor 0 0 35 17 0 0
Tile GreyFloor 0 0 6 18 0 0
Tile GreyFloor 0 0 7 18 0 0
Tile GreyFloor 0 0 8 18 0 0
Tile GreyFloor 0 0 9 18 0 0
Tile GreyFloor 0 0 10 18 0 0
Tile GreyFloor 0 0 11 18 0 0
Tile GreyFloor 0 0 12 18 0 0
Tile GreyFloor 0 0 13 18 0 0
Tile GreyFloor 0 0 14 18 0 0
Tile GreyFloor 0 0 15 18 0 0
Tile GreyFloor 0 0 16 18 0 0
Tile GreyFloor 0 0 17 18 0 0
Tile GreyFloor 0 0 18 18 0 0
Tile GreyFloor 0 0 19 18 0 0
Tile GreyFloor 0 0 20 18 0 0
Tile GreyFloor 0 0 21 18 0 0
Tile GreyFloor 0 0 22 18 0 0
Tile GreyFloor 0 0 23 18 0 0
Tile GreyFloor 0 0 24 18 0 0
Tile GreyFloor 0 0 25 18 0 0
Tile GreyFloor 0 0 26 18 0 0
Tile GreyFloor 0 0 27 18 0 0
Tile GreyFloor 0 0 28 18 0 0
Tile GreyFloor 0 0 29 18 0 0
Tile GreyFloor 0 0 30 18 0 0
Tile GreyFloor 0 0 31 18 0 0
Tile GreyFloor 0 0 32 18 0 0
Tile GreyFloor 0 0 33 18 0 0
Tile GreyFloor 0 0 34 18 0 0
Tile GreyFloor 0 0 35 18 0 0
Tile GreyFloor 0 0 6 19 0 0
Tile GreyFloor 0 0 7 19 0 0
Tile GreyFloor 0 0 8 19 0 0
Tile GreyFloor 0 0 9 19 0 0
Tile GreyFloor 0 0 10 19 0 0
Tile GreyFloor 0 0 11 19 0 0
Tile GreyFloor 0 0 12 19 0 0
Tile GreyFloor 0 0 13 19 0 0
Tile GreyFloor 0 0 14 19 0 0
Tile GreyFloor 0 0 15 19 0 0
Tile GreyFloor 0 0 16 19 0 0
Tile GreyFloor 0 0 17 19 0 0
Tile GreyFloor 0 0 18 19 0 0
Tile GreyFloor 0 0 19 19 0 0
Tile GreyFloor 0 0 20 19 0 0
Tile GreyFloor 0 0 21 19 0 0
Tile GreyFloor 0 0 22 19 0 0
Tile GreyFloor 0 0 23 19 0 0
Tile GreyFloor 0 0 24 19 0 0
Tile GreyFloor 0 0 25 19 0 0
Tile GreyFloor 0 0 26 19 0 0
Tile GreyFloor 0 0 27 19 0 0
Tile GreyFloor 0 0 28 19 0 0
Tile GreyFloor 0 0 29 19 0 0
Tile GreyFloor 0 0 30 19 0 0
Tile GreyFloor 0 0 31 19 0 0
Tile GreyFloor 0 0 32 19 0 0
Tile GreyFloor 0 0 33 19 0 0
Tile GreyFloor 0 0 34 19 0 0
Tile GreyFloor 0 0 35 19 0 0
Tile GreyFloor 0 0 6 20 0 0
Tile GreyFloor 0 0 7 20 0 0
Tile GreyFloor 0 0 8 20 0 0
Tile GreyFloor 0 0 9 20 0 0
Tile GreyFloor 0 0 10 20 0 0
Tile GreyFloor 0 0 11 20 0 0
Tile GreyFloor 0 0 12 20 0 0
Tile GreyFloor 0 0 13 20 0 0
Tile GreyFloor 0 0 14 20 0 0
Tile GreyFloor 0 0 15 20 0 0
Tile GreyFloor 0 0 16 20 0 0
Tile GreyFloor 0 0 17 20 0 0
Tile GreyFloor 0 0 18 20 0 0
Tile GreyFloor 0 0 19 20 0 0
Tile GreyFloor 0 0 20 20 0 0
Tile GreyFloor 0 0 21 20 0 0
Tile GreyFloor 0 0 22 20 0 0
Tile GreyFloor 0 0 23 20 0 0
Tile GreyFloor 0 0 24 20 0 0
Tile GreyFloor 0 0 25 20 0 0
Tile GreyFloor 0 0 26 20 0 0
Tile GreyFloor 0 0 27 20 0 0
Tile GreyFloor 0 0 28 20 0 0
Tile GreyFloor 0 0 29 20 0 0
Tile GreyFloor 0 0 30 20 0 0
Tile GreyFloor 0 0 31 20 0 0
Tile GreyFloor 0 0 32 20 0 0
Tile GreyFloor 0 0 33 20 0 0
Tile GreyFloor 0 0 34 20 0 0
Tile GreyFloor 0 0 35 20 0 0
Tile GreyFloor 0 0 6 21 0 0
Tile GreyFloor 0 0 7 21 0 0
Tile GreyFloor 0 0 8 21 0 0
Tile GreyFloor 0 0 9 21 0 0
Tile GreyFloor 0 0 10 21 0 0
Tile GreyFloor 0 0 11 21 0 0
Tile GreyFloor 0 0 12 21 0 0
Tile GreyFloor 0 0 13 21 0 0
Tile GreyFloor 0 0 14 21 0 0
Tile GreyFloor 0 0 15 21 0 0
Tile GreyFloor 0 0 16 21 0 0
Tile GreyFloor 0 0 17 21 0 0
Tile GreyFloor 0 0 18 21 0 0
Tile GreyFloor 0 0 19 21 0 0
Tile GreyFloor 0 0 20 21 0 0
Tile GreyFloor 0 0 21 21 0 0
Tile GreyFloor 0 0 22 21 0 0
Tile GreyFloor 0 0 23 21 0 0
Tile GreyFloor 0 0 24 21 0 0
Tile GreyFloor 0 0 25 21 0 0
Tile GreyFloor 0 0 26 21 0 0
Tile GreyFloor 0 0 27 21 0 0
Tile GreyFloor 0 0 28 21 0 0
Tile GreyFloor 0 0 29 21 0 0
Tile GreyFloor 0 0 30 21 0 0
Tile GreyFloor 0 0 31 21 0 0
Tile GreyFloor 0 0 32 21 0 0
Tile GreyFloor 0 0 33 21 0 0
Tile GreyFloor 0 0 34 21 0 0
Tile GreyFloor 0 0 35 21 0 0
Tile GreyFloor 0 0 6 22 0 0
Tile GreyFloor 0 0 7 22 0 0
Tile GreyFloor 0 0 8 22 0 0
Tile GreyFloor 0 0 9 22 0 0
Tile GreyFloor 0 0 10 22 0 0
Tile GreyFloor 0 0 11 22 0 0
Tile GreyFloor 0 0 12 22 0 0
Tile GreyFloor 0 0 13 22 0 0
Tile GreyFloor 0 0 14 22 0 0
Tile GreyFloor 0 0 15 22 0 0
Tile GreyFloor 0 0 16 22 0 0
Tile GreyFloor 0 0 17 22 0 0
Tile GreyFloor 0 0 18 22 0 0
Tile GreyFloor 0 0 19 22 0 0
Tile GreyFloor 0 0 20 22 0 0
Tile GreyFloor 0 0 21 22 0 0
Tile GreyFloor 0 0 22 22 0 0
Tile GreyFloor 0 0 23 22 0 0
Tile GreyFloor 0 0 24 22 0 0
Tile GreyFloor 0 0 25 22 0 0
Tile GreyFloor 0 0 26 22 0 0
Tile GreyFloor 0 0 27 22 0 0
Tile GreyFloor 0 0 28 22 0 0
Tile GreyFloor 0 0 29 22 0 0
Tile GreyFloor 0 0 30 22 0 0
Tile GreyFloor 0 0 31 22 0 0
Tile GreyFloor 0 0 32 22 0 0
Tile GreyFloor 0 0 33 22 0 0
Tile GreyFloor 0 0 34 22 0 0
Tile GreyFloor 0 0 35 22 0 0
Tile GreyFloor 0 0 6 23 0 0
Tile GreyFloor 0 0 7 23 0 0
Tile GreyFloor 0 0 8 23 0 0
Tile GreyFloor 0 0 9 23 0 0
Tile GreyFloor 0 0 10 23 0 0
Tile GreyFloor 0 0 11 23 0 0
Tile GreyFloor 0 0 12 23 0 0
Tile GreyFloor 0 0 13 23 0 0
Tile GreyFloor 0 0 14 23 0 0
Tile GreyFloor 0 0 15 23 0 0
Tile GreyFloor 0 0 16 23 0 0
Tile GreyFloor 0 0 17 23 0 0
Tile GreyFloor 0 0 18 23 0 0
Tile GreyFloor 0 0 19 23 0 0
Tile GreyFloor 0 0 20 23 0 0
Tile GreyFloor 0 0 21 23 0 0
Tile GreyFloor 0 0 22 23 0 0
Tile GreyFloor 0 0 23 23 0 0
Tile GreyFloor 0 0 24 23 0 0
Tile GreyFloor 0 0 25 23 0 0
Tile GreyFloor 0 0 26 23 0 0
Tile GreyFloor 0 0 27 23 0 0
Tile GreyFloor 0 0 28 23 0 0
Tile GreyFloor 0 0 29 23 0 0
Tile GreyFloor 0 0 30 23 0 0
Tile GreyFloor 0 0 31 23 0 0
Tile GreyFloor 0 0 32 23 0 0
Tile GreyFloor 0 0 33 23 0 0
Tile GreyFloor 0 0 34 23 0 0
Tile GreyFloor 0 0 35 23 0 0
Tile GreyFloor 0 0 6 24 0 0
Tile GreyFloor 0 0 7 24 0 0
Tile GreyFloor 0 0 8 24 0 0
Tile GreyFloor 0 0 9 24 0 0
